channel,category,n_videos,span_days,span_years,videos_per_week,videos_per_month,median_interval_days,mean_duration_min,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_first_half_per_week,freq_second_half_per_week,freq_change_pct,n_sponsored,sponsor_rate,n_child_brands,degree,family_partners,adult_partners,mean_exploit_v4,std_exploit_v4,total_views,log_total_views,log_n_child_brands,ci_pca,ci_equal,lii_pca,lii_equal
sonnysidevlog,adult,898,3786,10.365503080082137,1.6603275224511358,7.115689381933439,3.989363425925926,18.745118782479587,280.5519444444444,2.223074044726184,1.5561518313083291,1.4939249867934494,1.826730058108822,22.277227722772285,81.0,0.1035805626598465,114.0,3.0,1.0,2.0,-0.030510237,0.07432163,3158255781,9.499447299762998,4.74493212836325,0.29246279083724347,0.34093366034780104,0.31027177714852855,0.2845473421898653
tannerites,family,1409,3900,10.677618069815194,2.528974358974359,10.838461538461535,2.1171527777777777,0.0,0.0,0.0,0.0,3.55025641025641,1.5076923076923077,-57.532861476238615,54.0,0.038543897216274,669.0,0.0,0.0,0.0,0.025291169,0.09198335,7380570138,9.868089911717814,6.507277712385012,0.28622630813184224,0.3206834177449662,0.11301963452162006,0.18049452391151757
theleray,family,1896,3753,10.275154004106776,3.536370903277378,15.155875299760192,1.6895949074074077,0.0,0.0,0.0,0.0,3.2723880597014925,3.802238805970149,16.19156214367161,968.0,0.5975308641975309,53.0,0.0,0.0,0.0,0.013517691,0.07796102,562240718,8.749922294423978,3.9889840465642745,0.07591729715056894,0.36071405419688984,0.16140421799349317,0.20267217079806693
thesacconejolys,family,2852,5812,15.912388774811772,3.434962147281486,14.721266345492086,1.000011574074074,0.0,0.0,0.0,0.0,5.439091534755677,1.4308327598072952,-73.69353410097432,375.0,0.1316251316251316,59.0,0.0,0.0,0.0,0.07350996,0.09311728,747905603,8.87384678679058,4.0943445622221,0.1678504907228281,0.2651350365103676,0.15375309947460464,0.25070835300693334
thesuperherobuddy,family,4121,5202,14.242299794661191,5.545367166474433,23.765859284890425,0.9999768518518518,0.0,0.0,0.0,0.0,7.126489811610919,3.964244521337947,-44.37311178247735,16.0,0.003883495145631,7960.0,1.0,1.0,0.0,0.043195426,0.07261508,8526307939,9.930761013719676,8.982309899088579,0.44497463511764274,0.4065913298601257,0.25538159499276536,0.29233873521482096
theweisslife,family,1818,4307,11.79192334017796,2.954724866496401,12.66310657069886,1.9132638888888889,0.0,0.0,0.0,0.0,2.861124013005109,3.049698095680446,6.5909090909090935,611.0,0.3383167220376523,231.0,0.0,0.0,0.0,0.050955676,0.09016216,754804768,8.877834634881275,5.44673737166631,0.17639450324116845,0.3399909570786289,0.1320194107355351,0.21605883388246533
tomscott,adult,737,7264,19.887748117727583,0.7102147577092511,3.0437775330396475,6.999849537037037,0.0,0.0,0.0,0.0,0.5454295154185022,0.875,60.42402826855125,37.0,0.0502035278154681,11.0,1.0,0.0,1.0,0.01578655,0.09324461,1906898820,9.280327650003827,2.4849066497880004,0.14463906959734332,0.2290081914656116,0.027120247535467712,0.11416058223193708
twosetviolin,adult,1692,4456,12.199863107460644,2.6579892280071813,11.391382405745064,1.0690625,0.0,0.0,0.0,0.0,2.287253141831239,3.028725314183124,32.417582417582395,2.0,0.0013937282229965,10.0,0.0,0.0,0.0,-0.009620571,0.082426414,1528859866,9.184367680172292,2.3978952727983707,0.1389909611768189,0.20607533886545032,0.12079554116336588,0.1547808669496782
unspeakable,adult,1115,3156,8.640657084188911,2.473067173637516,10.598859315589356,2.083333333333333,0.0,0.0,0.0,0.0,2.781368821292776,2.164765525982256,-22.16905901116428,51.0,0.0461121157323689,1051.0,0.0,0.0,0.0,0.1580086,0.07151026,12218823871,10.087029404685838,6.9584483932976555,0.3043435959048274,0.33719391246051983,0.1040901835561486,0.2921529042761745
veritasium,adult,499,5733,15.696098562628336,0.6092796092796092,2.61119832548404,8.168171296296297,0.0,0.0,0.0,0.0,0.5812979762735521,0.6374738311235171,9.663865546218467,104.0,0.2092555331991951,12.0,4.0,0.0,4.0,0.00846663,0.0783744,4224457504,9.625770945677088,2.5649493574615367,0.15404727750979824,0.2977737037872075,0.022674276496349927,0.10467304325241011
vladandniki,family,1014,2919,7.991786447638604,2.431654676258993,10.421377183967111,2.978263888888889,0.0,0.0,0.0,0.0,2.130226182316655,2.73474982864976,28.378378378378397,146.0,0.1442687747035573,188.0,1.0,0.0,1.0,0.043409448,0.07888328,120679537857,11.081633638372862,5.241747015059643,0.2548757204507919,0.35045003078800396,0.10754254237411033,0.19286742894148046
