id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
KWRPxyZ0hVY,MONSTER TRUCK CHAMPIONSHIP! - Who's the STUNT MASTER?,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
pv4CogM7Xpk,Epic Dino Smashers Adventure! Movie Remastered,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
PVC5sTPQpMU,We found TREASURE in an Abandoned House!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
w3Mx9icWN5I,TWINS VS BROS Team Yoga Challenge with the Rybka Twins!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
CVY64U4051s,We gave VALENTINES to STRANGERS!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
xuDDiZkVmKE,BOYS vs GIRLS! Twin Birthday Bash Challenge!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
fnsb9xAqnTc,Best Of! Ninja Kidz REWIND!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
s0lkddNrLUM,Escape from the Super X-Ray Dinos! Ninja kidz and the Heroes of Goo Jit Zu!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
_OK5cZ7ceeY,Who is the Best Gymnast Part 2! Sis vs Bros Challenge!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
A1z62e0cc2g,Power of The SHK Superhero Rings!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
WgTF6Xcl3-4,We Broke Into Fans Houses and left Ninja Merch!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
XEV9khb0iEo,Power Rangers Ninja Z! Episode 8,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
Qno_PqWABAg,Christmas Movie Special! Tootles the Tooting Reindeer,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
BuvyOhCjeIo,Who is the best at gymnastics? Brothers and Sister Challenge!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
GMVAPU8_dfY,Power Rangers Ninja Kidz! Episode 7,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
weh9MMmL9No,Kayson Smash!! Mystery of the Missing Ninja Toys!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
p71YzckcCG8,Among Us in Real Life Ninja Z!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
JjsFKksNusc,Ninja Kidz & Batman team-up to Save Robin from the Joker!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YFpBdLB99Js,Sonic the Hedgehog Movie Remastered!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
Mox6yaKqqX8,Power Rangers Ninja Z Movie 2 Remastered!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
xSmrTeJ8Q6w,Surprise Gift! WWE Slambulance,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
qF-RfWU7qwU,Bro Vs Bro Beyblade Battle and the mysterious Guru!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
3Jesro8O0jI,Ninja Kidz Battle with Health bars!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
dI4sNh1z_1E,Imposters! Ninja Bots,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
2Kl9-7dQZOo,Escape the Witch Babysitter VS Prankbro!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
3u41xrQ_HHg,Surprising Ninja Kidz Fans at their House!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
kJmkY_0Uidw,Shadow Agents stole our Ninja Skills!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
-2jiQONYcVY,Trapped by Hackers!! Bakugan Battle League,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
hZUEnObv0BQ,Who is the Strongest Ninja Kid? WWE SuperStar Challenge!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
feSgEM_uq2E,Gymnast vs Giant! The Floor is Lava Ninja Race!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
dPSkS8XJhNM,Epic Dino Smashers Ice age! Ninja Kidz,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YlKvx0emdeI,We made Ninja Toys for TEN MILLION subscribers!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YJBryCTf9lM,"Epic Space Battle! Giant Robot, Snap Ships",5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
jYpV35xXjFU,Ninjas and Pirates search for Treasure X Sunken Gold!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
SCPllSaXu2U,Escape! Dino Heroes of Goo Jit Zu,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
9sRK99e5qFA,Sonic The Hedgehog Ninja Kidz Part 4!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
V0EVuSgK-OM,Underground Exploding Boom City Car Race VS Hacker!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
sqCMT2wOUAU,Sneaking up on Parents!! Bunch O Balloons Pranks and challenges,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
wNMO4LRtC7A,Being Awesome! Ninja Kidz Music Video (Lyrics),5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
h1LKe6vfZ4k,Sonic the Hedgehog 3! Ninja kidz,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
-IHiYf9qzU4,Sonic The Hedgehog 2! Ninja Kidz,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
