video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
-yzgMPG5IQw,4,0,0.0,120.8,199.7,60.3,0.0685,0.0348,0.0362,0.149
exJnP4DJaho,2,0,0.0,81.3,196.7,57.2,0.0888,0.036,0.0357,0.1921
9Q1-CBB3hrE,1,0,0.0,83.7,131.5,89.6,0.1739,0.0604,0.0307,0.0034
8LDYWm7u8LU,1,0,0.0,83.7,136.0,77.8,0.0963,0.0039,0.08,0.0178
3idRcGP9dDk,4,1,0.25,116.3,166.8,75.4,0.2669,0.0459,0.0452,0.1209
kZay_dYns9s,2,1,0.5,101.9,150.2,58.7,0.3778,0.0061,0.0353,0.099
zaH6iBAuCcY,2,0,0.0,89.5,181.6,75.3,0.2515,0.0273,0.0317,0.084
Q5Go6PKaNNM,1,0,0.0,107.0,146.3,97.4,0.1926,0.1743,0.0099,0.1337
NiCA3cbzrZY,2,2,1.0,125.2,122.4,77.5,0.2898,0.0188,0.0891,0.1135
kvYyScvfItc,4,1,0.25,144.3,144.3,69.4,0.2412,0.1471,0.0437,0.1027
5jdPnc3Zxio,2,1,0.5,119.6,187.2,75.4,0.0996,0.002,0.0275,0.05
-LRalOV71F0,1,0,0.0,59.1,192.2,68.7,0.0713,0.0,0.0287,0.0046
m-qxbgM4mkQ,3,1,0.333,81.8,204.8,69.2,0.128,0.0013,0.0462,0.2352
bXOsZI68mM8,2,1,0.5,63.1,199.3,84.5,0.1271,0.0028,0.0919,0.0591
44zazs8jReY,1,1,1.0,53.6,193.0,79.2,0.0118,0.013,0.0236,0.0317
gECN-BVLAgA,1,1,1.0,46.4,221.2,61.9,0.0262,0.0554,0.0207,0.1997
ZGEZGn9Cm-A,3,1,0.333,84.9,195.4,63.8,0.1096,0.0117,0.0355,0.179
k9cYM5MjmR8,5,1,0.2,79.6,214.3,68.1,0.0538,0.052,0.1004,0.1015
uAvOlS2v9lU,1,1,1.0,97.9,139.5,77.5,0.0649,0.0089,0.0352,0.1608
4YCoxnsB-DI,8,1,0.125,95.1,196.8,78.3,0.2012,0.0512,0.063,0.1846
fAg-5gzgM60,1,1,1.0,137.2,113.5,70.4,0.2501,0.124,0.0278,0.2082
R5fHlscMprQ,2,2,1.0,51.9,174.4,73.3,0.0959,0.0,0.0183,0.2812
dIs2oSWVz6E,3,0,0.0,92.2,160.3,79.3,0.1752,0.0023,0.0697,0.0496
C4_V8r7NGsU,6,0,0.0,93.4,162.5,83.3,0.1729,0.0218,0.135,0.1391
--2RsDMl8yE,3,2,0.667,64.3,180.7,67.9,0.0121,0.0004,0.055,0.3164
_GyWoV485GA,8,1,0.125,60.8,207.2,66.7,0.0922,0.0621,0.06,0.1182
V7BbjRytLVw,2,1,0.5,42.6,218.9,56.6,0.1332,0.0,0.0345,0.1181
QKNATpM6L88,2,1,0.5,52.7,203.1,60.6,0.054,0.006,0.0416,0.2316
2ZTbrhcOG-s,1,1,1.0,39.5,178.5,61.9,0.0718,0.0001,0.0094,0.2276
HpPrH-IFJjo,2,0,0.0,100.8,198.8,67.0,0.1618,0.1199,0.0371,0.0739
uR1BkV_6w1k,1,1,1.0,83.1,176.5,58.3,0.3512,0.0014,0.007,0.2945
9YN0-g-XagA,1,0,0.0,146.8,187.2,82.6,0.3015,0.1896,0.1124,0.0474
wBubUl7qyuM,0,0,0,91.4,189.2,63.6,0.2177,0.0003,0.0052,0
AWjuSvlzAx8,4,1,0.25,74.1,198.5,72.6,0.1409,0.0006,0.044,0.2813
jnX3GR0UGBc,3,1,0.333,58.1,178.0,67.3,0.0267,0.0976,0.0394,0.1294
VDeSaMf3ijI,1,1,1.0,30.8,164.8,71.5,0.0272,0.0048,0.0115,0.1043
D8PjXRLIus8,4,0,0.0,124.2,181.7,96.7,0.3603,0.0004,0.1224,0.0457
46KhG49HKD4,2,1,0.5,35.1,151.5,63.5,0.0135,0.0018,0.0488,0.3432
dAkI1n0Qt2o,0,0,0,50.8,182.3,41.6,0.0208,0.0343,0.0115,0
ClNXWeLuptg,7,0,0.0,132.0,218.2,85.0,0.2133,0.065,0.0907,0.2164
