id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word
VZIdo8reUb0,acefamily,1123683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0.8064516129032258,0,0,0,1,0,1
yDRwahq_iOw,acefamily,1954123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,0.76,2,1,0,0,0,1
RtLeQNGvKJ4,acefamily,1611872.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0.7894736842105263,1,0,0,1,0,1
xJiY3Zlpm78,acefamily,2173823.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,8,0.7435897435897436,0,0,0,1,0,1
WV5b4a9yoak,acefamily,1363660.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0.7575757575757576,2,1,0,0,0,1
8M_VIlXFpSg,acefamily,2638611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0.6875,3,0,0,0,0,1
MbmD5ZJGzGs,acefamily,1609763.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,0.7692307692307693,0,0,0,1,0,1
8A2AoCg__d0,acefamily,1731451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0.7878787878787878,0,0,0,1,0,1
cuxi0cUGezo,acefamily,1174591.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,10,0.7391304347826086,3,0,0,0,0,1
KgXZB3p4T1M,acefamily,2811025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11,0.7017543859649122,0,0,0,1,0,1
miJN6tghYcQ,acefamily,1343523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0.7272727272727273,0,0,0,1,0,1
9zMxb17DMUM,acefamily,1619498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,9,0.7321428571428571,3,0,0,0,0,1
cIwO_6jHPq0,acefamily,2284953.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0.7166666666666667,3,0,0,0,0,1
Y3ODF7TwtoM,acefamily,2840308.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,14,0.7012987012987013,3,1,0,0,0,1
FqBKxIAeWcc,acefamily,1634893.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0.813953488372093,1,0,0,0,0,1
IC87dy1Nj5Q,acefamily,2228633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,9,0.775,1,0,0,0,0,1
JEQLyFFDAMQ,acefamily,2185380.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0.6666666666666666,2,1,0,0,1,1
Wh2DrG1bE9I,acefamily,3397969.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,6,0.7,3,0,0,0,1,1
Ksk_K5PgMZM,acefamily,1613827.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,8,0.7547169811320755,3,0,0,1,0,1
u5JF_Y5mZBI,acefamily,2132389.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74,13,0.7432432432432432,0,0,0,1,0,1
RsdGGeDWl_Q,acefamily,4615843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0.7741935483870968,1,0,0,0,0,1
xkhq3T6aw6Q,acefamily,1631029.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0.6785714285714286,0,0,0,1,0,1
v_9jZ8R9VRA,acefamily,3156669.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,9,0.7346938775510204,1,0,0,0,0,1
Ud5xlPGK09w,acefamily,5069300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0.7222222222222222,0,0,0,1,0,1
6vCKDCzQiCY,acefamily,1324538.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,7,0.8125,1,0,0,0,0,1
nym4bePhOOw,acefamily,1733907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,5,0.8484848484848485,1,0,0,0,0,1
STpi_bjI9v4,acefamily,2719203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,5,0.7027027027027027,3,0,1,0,1,1
VDZ7_PUKseA,acefamily,3921992.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,6,0.7948717948717948,1,0,0,0,0,1
pb355BKsY4I,acefamily,2149025.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0.725,1,0,0,0,0,1
xyhEPeoPYpE,acefamily,2031655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,0.8222222222222222,1,0,0,0,0,1
VgN0xS7yEg0,acefamily,1945214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,9,0.75,3,0,0,0,0,1
gJMyBTkZZdg,acefamily,3056641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,8,0.7142857142857143,1,0,0,0,0,1
