channel,category,is_family,viral_video_idx,viral_views,pre_drift_mean,post_drift_mean,drift_change
bratayley,family,1,1304,9762931,0.08152989,0.06633351,-0.015196383
bratayley,family,1,1311,10572983,0.048481274,0.07110758,0.022626307
bratayley,family,1,1323,18310782,0.049703456,0.05911539,0.009411935
bratayley,family,1,1324,29057215,0.047050234,0.06374669,0.016696457
bratayley,family,1,1382,35230771,0.08271305,0.05758245,-0.025130603
bratayley,family,1,1416,8190139,0.05633688,0.042212296,-0.014124583
bratayley,family,1,1467,10519352,0.009972664,0.029443368,0.019470705
bratayley,family,1,1476,13758445,0.0466177,0.017665405,-0.028952297
bratayley,family,1,1486,8283431,0.020118594,0.08685291,0.066734314
bratayley,family,1,1526,8828097,0.05427457,0.068628274,0.014353704
bratayley,family,1,1573,28909414,0.097508974,0.06929051,-0.028218463
bratayley,family,1,1594,18115435,0.035511132,0.050751764,0.015240632
bratayley,family,1,1625,9073269,0.040622473,0.12098031,0.080357835
bratayley,family,1,1665,8912209,0.08121572,-0.00020242036,-0.081418134
bratayley,family,1,1668,18864804,0.087133184,-0.021598756,-0.10873194
bratayley,family,1,1671,23781670,0.07142247,-0.0037854828,-0.075207956
bratayley,family,1,1853,9607913,0.04576131,0.052811563,0.0070502535
bratayley,family,1,1873,14799941,0.037753057,0.06685754,0.029104482
bratayley,family,1,1919,8337106,0.046516858,0.04659697,8.011237e-05
bratayley,family,1,2113,9041023,0.002341847,0.070961006,0.06861916
bratayley,family,1,2132,15094780,0.074580215,0.035337932,-0.039242283
bratayley,family,1,2166,10516463,0.08000748,0.06794973,-0.012057751
bratayley,family,1,2252,8213659,0.047117524,0.016403612,-0.030713912
bratayley,family,1,2294,11133931,0.05155292,0.065676674,0.014123753
bratayley,family,1,2313,10434253,0.033031903,0.058128305,0.025096402
brentrivera,family,1,284,72712341,0.10795832,0.13922544,0.03126712
brentrivera,family,1,451,68017455,0.116759695,0.11072341,-0.0060362816
brentrivera,family,1,455,88399114,0.11693766,0.15310763,0.03616997
brentrivera,family,1,459,79800612,0.11516328,0.1380328,0.022869512
brentrivera,family,1,461,78226498,0.1017262,0.15075763,0.04903143
brentrivera,family,1,483,134288194,0.12679945,0.13441534,0.007615894
brentrivera,family,1,491,61168494,0.16260387,0.03357113,-0.12903273
brentrivera,family,1,506,66947346,0.028334355,0.05851649,0.030182136
brentrivera,family,1,510,113022881,0.04648618,0.03026398,-0.0162222
brentrivera,family,1,513,81803333,0.068031564,0.024648525,-0.04338304
brentrivera,family,1,520,88017616,0.031712208,0.045415502,0.013703294
brentrivera,family,1,528,69102889,0.044462986,0.052312005,0.007849019
brentrivera,family,1,530,75492137,0.05354336,0.10802686,0.054483503
brentrivera,family,1,548,80879451,0.10104289,0.13787933,0.036836438
brentrivera,family,1,559,157173524,0.13787933,0.061275005,-0.07660432
brentrivera,family,1,562,327318570,0.11404872,0.072334185,-0.041714534
brentrivera,family,1,576,108943601,0.06468503,0.052702166,-0.011982866
brentrivera,family,1,580,75655796,0.06599222,0.035607208,-0.030385014
brentrivera,family,1,588,76307103,0.046694275,0.057248585,0.01055431
brentrivera,family,1,598,100248199,0.05645659,0.079639494,0.023182906
brentrivera,family,1,600,95300175,0.08437282,0.042918924,-0.041453894
brentrivera,family,1,611,64447857,0.042918924,0.045419455,0.0025005303
brentrivera,family,1,652,121394975,0.082251415,0.00950776,-0.072743654
brentrivera,family,1,722,198852351,0.069190525,0.10490755,0.035717025
brentrivera,family,1,733,105486413,0.10490755,0.12319026,0.018282712
brentrivera,family,1,742,151626103,0.14683661,0.09129222,-0.05554439
brentrivera,family,1,743,109939553,0.15964428,0.09437263,-0.065271646
brentrivera,family,1,747,69421961,0.12826002,0.10100381,-0.027256206
brentrivera,family,1,748,62189398,0.13743001,0.09648691,-0.0409431
brentrivera,family,1,753,108105816,0.09129222,0.08749293,-0.0037992895
brentrivera,family,1,855,148794418,0.05076815,0.051290203,0.00052205473
brentrivera,family,1,858,77642400,0.032987013,0.06378406,0.03079705
caseyneistat,adult,0,39,33322639,0.032252457,-0.010597209,-0.042849667
caseyneistat,adult,0,84,21844592,0.022159766,0.023296151,0.0011363849
caseyneistat,adult,0,90,11353933,0.0018526905,0.06833263,0.066479936
caseyneistat,adult,0,112,11510568,0.008006548,0.010788085,0.0027815374
caseyneistat,adult,0,137,14003753,0.060748883,0.06790592,0.007157035
caseyneistat,adult,0,275,13184986,0.08567084,0.0651301,-0.020540744
caseyneistat,adult,0,415,23517938,0.06735401,0.057289302,-0.010064706
caseyneistat,adult,0,476,13170823,0.034101795,0.0700629,0.035961103
caseyneistat,adult,0,537,13953447,0.06098772,0.08337484,0.022387125
caseyneistat,adult,0,588,16598614,0.009655872,0.07535807,0.0657022
caseyneistat,adult,0,656,23528117,-0.020972867,0.015782103,0.03675497
caseyneistat,adult,0,662,80574893,0.003683921,0.06001708,0.05633316
caseyneistat,adult,0,672,11345667,0.06953253,0.0467081,-0.022824429
caseyneistat,adult,0,716,11190776,0.0054309433,0.041370563,0.03593962
caseyneistat,adult,0,740,16559794,0.058190297,0.055393815,-0.0027964823
caseyneistat,adult,0,793,26239402,0.041932993,0.06907064,0.027137645
caseyneistat,adult,0,819,11216921,0.0794151,-0.010624592,-0.09003969
caseyneistat,adult,0,825,15230682,0.061871547,0.028952435,-0.032919113
caseyneistat,adult,0,837,14911987,0.040133234,0.0042605884,-0.035872646
caseyneistat,adult,0,852,55430314,-0.011358107,0.01813661,0.029494718
caseyneistat,adult,0,971,11469113,0.08582858,0.03174887,-0.05407971
caseyneistat,adult,0,1023,43960498,-0.0051233247,0.041870974,0.0469943
caseyneistat,adult,0,1089,14785309,0.012486873,0.04567962,0.033192746
cocomelon,family,1,74,1684064190,0.2747208,0.26947355,-0.0052472353
cocomelon,family,1,245,1820528208,0.28424653,0.2885142,0.0042676628
cocomelon,family,1,263,1194841665,0.3030738,0.3047715,0.0016977191
cocomelon,family,1,266,976665559,0.30791074,0.30227447,-0.005636275
cocomelon,family,1,270,1004907304,0.29570657,0.31743434,0.02172777
cocomelon,family,1,272,1312332257,0.3063808,0.32592958,0.019548774
cocomelon,family,1,273,1160324188,0.30116498,0.32629386,0.025128871
cocomelon,family,1,275,4402158067,0.3093059,0.3182445,0.008938581
cocomelon,family,1,278,907904542,0.30348486,0.3190201,0.015535235
cocomelon,family,1,279,1977742227,0.32009342,0.31792563,-0.0021677911
cocomelon,family,1,284,1403676662,0.32629386,0.32838902,0.0020951629
cocomelon,family,1,287,2903216106,0.32422778,0.32173514,-0.0024926364
cocomelon,family,1,297,1690972225,0.32398495,0.29879764,-0.025187314
cocomelon,family,1,299,1232095303,0.32012838,0.29867166,-0.021456718
cocomelon,family,1,302,1781165491,0.31382483,0.3100543,-0.0037705302
cocomelon,family,1,308,964353912,0.29879764,0.29733372,-0.0014639199
cocomelon,family,1,311,2391872094,0.29737,0.30257672,0.005206734
cocomelon,family,1,314,7445351949,0.30715275,0.28979447,-0.017358273
cocomelon,family,1,316,1155215192,0.3146759,0.2866713,-0.028004587
