channel,category,is_family,viral_idx,viral_views,viral_exploit_score,pre_mean,post_mean,drift_change
brentrivera,family,1,520,88017616,0.17978707,0.09721081,0.07131939,-0.025891423
brentrivera,family,1,528,69102889,0.08108146,0.08962638,0.10120619,0.011579812
brentrivera,family,1,530,75492137,-0.051407762,0.10548132,0.090247914,-0.015233405
brentrivera,family,1,548,80879451,0.0070654526,0.09773115,0.108558446,0.0108272955
brentrivera,family,1,559,157173524,0.065681495,0.095749855,0.1074061,0.011656247
brentrivera,family,1,562,327318570,0.098583005,0.09723945,0.12187147,0.024632022
brentrivera,family,1,576,108943601,0.10130976,0.10178169,0.07629282,-0.025488868
brentrivera,family,1,580,75655796,0.00046495348,0.11792744,0.08430196,-0.033625476
brentrivera,family,1,588,76307103,0.08949398,0.09523699,0.09721494,0.0019779503
brentrivera,family,1,598,100248199,0.08276313,0.09133752,0.09219464,0.00085712224
brentrivera,family,1,600,95300175,0.15977676,0.10058352,0.0753088,-0.025274724
brentrivera,family,1,611,64447857,0.35922027,0.07906531,0.077336036,-0.0017292723
brentrivera,family,1,652,121394975,0.0011194292,0.08677469,0.05253346,-0.034241233
brentrivera,family,1,722,198852351,0.03564412,0.08676102,0.08862753,0.001866512
brentrivera,family,1,733,105486413,0.3523667,0.055600982,0.121074185,0.0654732
brentrivera,family,1,742,151626103,0.07071442,0.100680806,0.13209079,0.031409986
brentrivera,family,1,743,109939553,0.0901587,0.10167881,0.1290211,0.027342282
brentrivera,family,1,747,69421961,0.31800306,0.11805167,0.120332494,0.002280824
brentrivera,family,1,748,62189398,0.13165367,0.13578838,0.11759408,-0.018194303
brentrivera,family,1,753,108105816,0.080094226,0.12985879,0.10949902,-0.02035977
brentrivera,family,1,855,148794418,-0.06815568,0.09341732,0.059347495,-0.03406982
brentrivera,family,1,858,77642400,0.13899298,0.08506719,0.07865183,-0.0064153597
caseyneistat,adult,0,39,33322639,0.10680701,0.033833362,0.022066485,-0.011766877
caseyneistat,adult,0,84,21844592,0.013555996,0.0025544513,0.0690863,0.066531844
caseyneistat,adult,0,90,11353933,-0.0023068339,0.013255645,0.08035445,0.06709881
caseyneistat,adult,0,112,11510568,0.119668216,0.042003177,0.08209808,0.040094905
caseyneistat,adult,0,137,14003753,0.15794179,0.1075199,0.07966705,-0.027852856
caseyneistat,adult,0,275,13184986,0.06517855,0.09051936,0.08409919,-0.0064201728
caseyneistat,adult,0,415,23517938,0.08168683,0.10055103,0.10020212,-0.0003489107
caseyneistat,adult,0,476,13170823,0.064800285,0.055039186,0.117733255,0.06269407
caseyneistat,adult,0,537,13953447,-0.045916673,0.100459374,0.10565467,0.0051952973
caseyneistat,adult,0,588,16598614,0.020732068,0.048058614,0.11668752,0.06862891
caseyneistat,adult,0,656,23528117,-0.11508933,0.007630354,0.08031794,0.07268758
caseyneistat,adult,0,662,80574893,-0.0010083877,0.0075508445,0.076443076,0.06889223
caseyneistat,adult,0,672,11345667,0.031954072,0.08031794,0.056371726,-0.02394621
caseyneistat,adult,0,716,11190776,-0.005862688,0.0726453,0.04489076,-0.027754538
caseyneistat,adult,0,740,16559794,0.21537386,0.08150809,0.07520378,-0.006304316
caseyneistat,adult,0,793,26239402,0.0007511545,0.01912293,0.07448339,0.05536046
caseyneistat,adult,0,819,11216921,0.21464355,0.04809759,0.040779505,-0.007318087
caseyneistat,adult,0,825,15230682,-0.084594,0.07020356,0.05195366,-0.0182499
caseyneistat,adult,0,837,14911987,-0.06258804,0.05233429,0.020464746,-0.031869546
caseyneistat,adult,0,852,55430314,-0.049667373,0.019603368,0.033314407,0.013711039
caseyneistat,adult,0,971,11469113,0.15210691,0.0954751,0.05893125,-0.03654385
caseyneistat,adult,0,1023,43960498,-0.029437184,0.05012574,0.091941595,0.041815855
caseyneistat,adult,0,1089,14785309,0.19993909,0.061917342,0.07245303,0.010535687
cocomelon,family,1,74,1684064190,0.04101023,0.09233435,0.1106332,0.01829885
cocomelon,family,1,245,1820528208,0.23071949,0.10069906,0.1292317,0.028532647
cocomelon,family,1,263,1194841665,0.11163299,0.13542195,0.11444499,-0.020976953
cocomelon,family,1,266,976665559,0.12595986,0.12352591,0.109451555,-0.014074355
cocomelon,family,1,270,1004907304,0.25127223,0.118963204,0.1013092,-0.017654002
cocomelon,family,1,272,1312332257,0.04472798,0.11959433,0.11757733,-0.0020169988
cocomelon,family,1,273,1160324188,0.08060251,0.11366927,0.120660335,0.006991066
cocomelon,family,1,275,4402158067,0.17635185,0.103614144,0.11184482,0.008230679
cocomelon,family,1,278,907904542,0.24840388,0.105326936,0.11717423,0.011847295
cocomelon,family,1,279,1977742227,0.058153864,0.11444499,0.11901827,0.004573278
cocomelon,family,1,284,1403676662,0.091447465,0.10617231,0.13385352,0.027681217
cocomelon,family,1,287,2903216106,0.19919401,0.10727962,0.118058234,0.010778613
cocomelon,family,1,297,1690972225,0.15931186,0.12665217,0.12017556,-0.0064766034
cocomelon,family,1,299,1232095303,0.08916791,0.1340055,0.12211121,-0.011894293
cocomelon,family,1,302,1781165491,0.04309696,0.12846471,0.12879653,0.00033181906
cocomelon,family,1,308,964353912,0.18977115,0.12093668,0.114518456,-0.0064182207
cocomelon,family,1,311,2391872094,0.16163628,0.11314221,0.12021055,0.0070683435
cocomelon,family,1,314,7445351949,0.1315977,0.11928256,0.11192551,-0.007357046
cocomelon,family,1,316,1155215192,0.09531902,0.12861496,0.11128768,-0.017327279
cocomelon,family,1,318,987477519,0.12596461,0.12879653,0.11476121,-0.014035322
cocomelon,family,1,319,8814329346,0.098988056,0.12923023,0.122755304,-0.006474927
cocomelon,family,1,321,1180468378,0.08854979,0.12694192,0.1308858,0.0039438754
cocomelon,family,1,322,1636981852,0.11689631,0.11746387,0.13146533,0.014001459
cocomelon,family,1,327,4799360332,0.15289813,0.12021055,0.14088361,0.020673059
cocomelon,family,1,328,1848316150,0.08451019,0.11558846,0.13643333,0.020844877
cocomelon,family,1,330,1429911414,0.14735873,0.11192551,0.14443173,0.032506213
cocomelon,family,1,332,1725397182,0.12332395,0.11128768,0.15171877,0.040431082
cocomelon,family,1,334,2096503054,0.21889946,0.11476121,0.14180064,0.027039431
cocomelon,family,1,335,910885547,0.13432579,0.122755304,0.14280821,0.02005291
cocomelon,family,1,340,3423071857,0.11399452,0.13468327,0.15160474,0.016921476
cocomelon,family,1,342,1038442725,0.21820465,0.13652983,0.1451459,0.00861606
